SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/3/18,15170309000,1993.9794,723.1103,1107.2405,163.62625,0,86.997185,0,0,0,0,0,0.004583333
2020/3/19,15170309000,1997.0331,724.01685,1109.3363,163.66937,0,85.33417,0,0,0,0,0,0
2020/3/20,15170309000,2000.1879,725.2457,1111.1545,163.7852,0,85.48229,0,0,0,0,0,0
2020/3/21,15170309000,2003.4562,726.4925,1113.0544,163.89792,0,85.61823,0,0,0,0,0,0
2020/3/22,15170309000,2006.8043,727.80426,1114.9778,164.00812,0,85.76073,0,0,0,0,0,0
2020/3/23,15170309000,2010.374,729.2549,1116.991,164.11844,0,85.91386,0,0,0,0,0,0
2020/3/24,15170309000,2013.8029,730.5643,1118.9902,164.23645,0,86.038956,0,0,0,0,0,0
2020/3/25,15170309000,2017.1577,731.82697,1120.9672,164.34843,0,86.17344,0,0,0,0,0,0
2020/3/26,15170309000,2020.6547,733.23773,1122.9386,164.46625,0,86.31177,0,0,0,0,0,0
2020/3/27,15170309000,2024.4519,734.8368,1125.0275,164.57802,0,86.463646,0,0,0,0,0,0
2020/3/28,15170309000,2028.1984,736.20386,1127.2883,164.69708,0,86.60396,0,0,0,0,0,0
2020/3/29,15170309000,2031.6465,737.7087,1129.0531,164.87979,0,88.41167,0,0,0,0,0,0.004166666
2020/3/30,15170309000,2035.0166,739.07275,1130.9323,165.00621,0,88.91779,0,0,0,0,0,0.005052631
2020/3/31,15170309000,2038.2179,740.3426,1132.751,165.1152,0,89.03031,0,0,0,0,0,0.005
2020/4/1,15170309000,2041.4902,741.34485,1134.9781,165.15758,0,87.158,0,0,0,0,0,0
2020/4/2,15170309000,2044.8601,742.598,1136.9736,165.27667,0,87.29396,0,0,0,0,0,0
2020/4/3,15170309000,2048.1472,743.8439,1138.9076,165.38678,0,87.43396,0,0,0,0,0,0
2020/4/4,15170309000,2051.1904,744.9828,1140.7024,165.49687,0,87.57229,0,0,0,0,0,0
2020/4/5,15170309000,2054.1226,746.078,1142.428,165.60678,0,87.70563,0,0,0,0,0,0
2020/4/6,15170309000,2057.2195,747.44556,1143.9933,165.77333,0,89.53042,0,0,0,0,0,0.004166666
2020/4/7,15170309000,2060.5464,748.5831,1146.0862,165.86697,0,88.95646,0,0,0,0,0,0.002291667
2020/4/8,15170309000,2063.7725,749.75354,1148.0441,165.96802,0,88.76094,0,0,0,0,0,0.001458333
2020/4/9,15170309000,2066.945,751.21875,1149.5894,166.13115,0,90.31979,0,0,0,0,0,0.005
2020/4/10,15170309000,2070.2046,752.4369,1151.533,166.22406,0,89.86437,0,0,0,0,0,0.003541667
2020/4/11,15170309000,2073.4868,753.4676,1153.7173,166.28906,0,88.57343,0,0,0,0,0,0
2020/4/12,15170309000,2076.6777,754.5684,1155.6954,166.40575,0,88.70755,0,0,0,0,0,0
2020/4/13,15170309000,2079.9067,755.62494,1157.7544,166.51663,0,88.83505,0,0,0,0,0,0
2020/4/14,15170309000,2083.236,756.8177,1159.779,166.62885,0,88.96375,0,0,0,0,0,0
2020/4/15,15170309000,2086.6414,758.1717,1161.707,166.75284,0,89.542,0,0,0,0,0,0.001052632
2020/4/16,15170309000,2089.924,759.5688,1163.4231,166.92406,0,91.2949,0,0,0,0,0,0.005
2020/4/17,15170309000,2093.3513,760.81616,1165.4948,167.03511,0,91.4401,0,0,0,0,0,0.005
2020/4/18,15170309000,2096.7173,762.1334,1167.4216,167.15417,0,91.583336,0,0,0,0,0,0.005
2020/4/19,15170309000,2100.1973,763.23883,1169.7396,167.20563,0,89.691246,0,0,0,0,0,0
2020/4/20,15170309000,2103.8977,765.0603,1171.4583,167.36687,0,91.289894,0,0,0,0,0,0.003541667
2020/4/21,15170309000,2107.5803,766.84,1173.2316,167.50397,0,92.03854,0,0,0,0,0,0.005
2020/4/22,15170309000,2111.073,768.0143,1175.342,167.70677,0,91.92198,0,0,0,0,0,0.004375
2020/4/23,15170309000,2114.4448,769.14825,1177.4199,167.87152,0,90.27565,0,0,0,0,0,0
2020/4/24,15170309000,2117.6465,770.4049,1179.1326,168.09917,0,90.423645,0,0,0,0,0,0
2020/4/25,15170309000,2121.3079,771.8906,1181.0419,168.36574,0,91.532394,0,0,0,0,0,0.002291667
2020/4/26,15170309000,2125.1406,773.4202,1183.0928,168.62263,0,92.47263,0,0,0,0,0,0.004210526
2020/4/27,15170309000,2128.8564,774.5624,1185.4946,168.78876,0,90.87,0,0,0,0,0,0
2020/4/28,15170309000,2132.1943,775.98315,1187.1276,169.07652,0,92.81811,0,0,0,0,0,0.004421053
